employee_id,name,phone,job_role,work_location,salary
1,Krystal Johnson,+1-294-626-8748,Administrative Assistant,"Syndney, Australia",138043
2,Marisa Mills MD,001-207-842-9655x316,Project Manager,"Washington, DC",224501
3,Patricia Maldonado,852-500-5408,Database Developer,"London, UK",83124
4,Yvette Stewart,411.566.3376,Civil Engineer,"San Francisco, California",195664
5,Timothy Marsh,+1-492-379-9257x0019,Mechanical Engineer,"Washington, DC",215305
6,Mike Reed,(708)510-8597x4520,Project Manager,"Hartford, Connecticut",71269
7,Stephen Fisher,368.581.7900x4311,Civil Engineer,"Boston, Massachusetts",231769
8,Benjamin Hawkins,8797201074,SEO,"Austin, Texas",199784
9,Charles Black,+1-370-578-2218x6312,Quality Assurance,"Washington, DC",148108
10,Alyssa Harris,230.744.3729x01849,Recruiter,"Boston, Massachusetts",96357
11,John Huffman,(848)545-5821,Accountant,"Tampa Bay, Florida",243208
12,Marvin Hernandez,243.407.6908x1167,Branch Manager,"Boston, Massachusetts",40618
13,Alex Butler,319.241.2838x908,Marketing,"Boston, Massachusetts",98371
14,Lance Smith,001-239-857-9057,Network Engineer,"Austin, Texas",58366
15,Michael Bradley,+1-818-838-4150x92056,Accountant,"Washington, DC",158676
16,Mary Cunningham,001-845-736-6965,Operations Manager,"Tokyo, Japan",229330
17,Krystal Fisher,493.329.2676x851,CEO,"Tampa Bay, Florida",208433
18,Brandon Chapman,869-595-8873,Project Manager,"Rowley, North Carolina",126266
19,David Schultz,6372367630,Marketing Inter,"Rowley, North Carolina",150271
20,Samantha Hughes,+1-493-726-6027x2959,Database Developer,"Syndney, Australia",183641
21,Steven Johnson,001-217-571-9678x6612,Executive Director,"Tokyo, Japan",182502
22,Kirsten Ramos,+1-787-501-2092x92850,Administrative Specialist,"San Francisco, California",124809
23,Victor Brooks,(615)534-6186x203,Chief Information Officer,"Austin, Texas",210661
24,April Johnson,8937387515,CEO,"London, UK",179124
25,Terry Jones,5316097694,General Manager,"Washington, DC",84626
26,Amanda Ortiz,001-514-586-4127x08176,Information Technology,"Tokyo, Japan",222947
27,Nicole Miller,(227)692-5073x626,Network Engineer,"Washington, DC",198965
28,David Hernandez,+1-808-324-3381x406,Maintenance Worker,"Hartford, Connecticut",154014
29,Anne Moore,225-751-6655,Accountant,"Tampa Bay, Florida",65175
30,Jeremy Ortiz,5503635124,Communications Specialist,"Austin, Texas",241827
31,Russell Smith,392-944-2689x33004,Quality Assurance,"Boston, Massachusetts",101530
32,Stephen Thomas,(515)460-2747x160,Administrative Specialist,"Hartford, Connecticut",53315
33,Lisa Garcia,2279367821,Recruiter,"San Francisco, California",193571
34,Caroline Castaneda,3602776508,Information Technology,"Tampa Bay, Florida",57613
35,Teresa Parker,529.934.4076,Executive Director,"Washington, DC",127625
36,Alexis Johnson,493.359.3867,Accountant,"Rowley, North Carolina",67165
37,Shannon Reyes,771.509.6389x41233,Data Analyst,"London, UK",182960
38,Tiffany Jones,(996)475-2686x79459,Custodian,"London, UK",167273
39,Jonathan Carroll,+1-772-739-1484x581,SEO,"Boston, Massachusetts",243722
40,Gregory Clark,534.657.7193x092,Industrial EngineerSoftware Engineer,"London, UK",215705
41,Richard Koch,856.499.6933x0643,Accountant,"Washington, DC",42026
42,Andrew Bennett,001-207-535-9934x816,Recruiter,"Rowley, North Carolina",38928
43,Trevor Bishop,(505)313-0809x0266,Quality Assurance,"San Francisco, California",123027
44,Emma Yang,592.681.6791x8802,Administrative Assistant,"Hartford, Connecticut",124757
45,David Mcmillan,001-634-416-1605x633,Database Developer,"Tokyo, Japan",113836
46,Christopher Miles,+1-449-333-5152x9951,Network Engineer,"London, UK",175788
47,Scott Hughes,243-574-4535x1700,Graphic Designer,"Boston, Massachusetts",178467
48,Jeffrey Jackson MD,(786)939-7177x6465,Chief Information Officer,"London, UK",59173
49,Denise Patel,9013460949,Civil Engineer,"San Francisco, California",194311
50,Jonathan Meyer,+1-659-489-4845x603,Network Engineer,"Tampa Bay, Florida",192857
51,Gary Gonzalez,(492)493-1962,Project Manager,"Chicago, Illinois",230808
52,Sarah Ramirez,(725)746-8592x3013,Maintenance Worker,"Austin, Texas",137516
53,Jennifer Sanchez,766.993.0764,Recruiter,"Syndney, Australia",167158
54,Nicholas Nguyen,978-961-5183x552,Communications Specialist,"Tampa Bay, Florida",189295
55,Craig Fields,467-849-8608x1845,Branch Manager,"Hartford, Connecticut",178541
56,Sharon Gay,661.674.9390,CEO,"Boston, Massachusetts",213211
57,Kevin Lewis,001-701-752-6688x70962,Information Technology,"San Francisco, California",215401
58,Jason Lam,689-241-5561,Recruiter,"Washington, DC",52783
59,Phillip Smith,001-592-290-7354,Communications Specialist,"San Francisco, California",153881
60,Renee Ford,(438)489-8145x161,Recruiter,"Syndney, Australia",121297
61,David Coffey,945-345-5399x16472,Quality Assurance,"Tampa Bay, Florida",107252
62,Cynthia Orozco,001-352-366-7192x962,Mechanical Engineer,"Boston, Massachusetts",240035
63,Emma Ewing,001-589-782-4345x2551,SEO,"Boston, Massachusetts",165531
64,Dean Williams,601.658.7098,Accountant,"Boston, Massachusetts",249156
65,Mr. Bruce Peterson,(363)648-7284x0100,Marketing,"Austin, Texas",128173
66,Mrs. Jennifer Garcia,8762406744,Communications Specialist,"Washington, DC",40355
67,Elizabeth Kane,944.481.6307,Administrative Assistant,"Syndney, Australia",211580
68,Cody Spencer,616.562.8080x140,Marketing Inter,"Austin, Texas",111388
69,Amber Diaz,001-620-584-5667,Graphic Designer,"Boston, Massachusetts",130096
70,Jonathan Koch,626-418-5431x13085,Project Manager,"Tokyo, Japan",72108
71,Douglas Nguyen,623.567.3456x335,Marketing,"Boston, Massachusetts",99748
72,Kayla Gonzalez,+1-514-756-1596x51235,Industrial EngineerSoftware Engineer,"Hartford, Connecticut",193248
73,Daniel Snyder,(497)707-8355,Civil Engineer,"Hartford, Connecticut",195395
74,Jasmine Hutchinson,+1-543-977-1116,Civil Engineer,"Chicago, Illinois",235771
75,Amy Gardner,+1-462-688-1358x95159,Recruiter,"Boston, Massachusetts",213920
76,Tonya Anderson,225.485.9179x0586,Custodian,"Chicago, Illinois",47772
77,Dennis Mack,717.828.1490x07250,Operations Manager,"Boston, Massachusetts",122202
78,Karen Carney,+1-804-466-6064x02685,Human Resources,"Boston, Massachusetts",180535
79,Willie Garcia,+1-835-855-4030x855,General Manager,"London, UK",248985
80,Carlos Mccormick,769.727.7405x702,Operations Manager,"Austin, Texas",115209
81,Katelyn Howard,(370)273-1391,Secretary,"Austin, Texas",158667
82,Alexandria Wright,+1-228-916-0241x159,CEO,"Chicago, Illinois",55986
83,Mr. Kelly Cole,367.258.0171x514,SEO,"San Francisco, California",99557
84,Maria Hughes,(728)495-1649,Information Technology,"Washington, DC",223705
85,Cathy Hurley,+1-275-780-7348x207,Executive Director,"Hartford, Connecticut",225296
86,Mark Burgess,542.800.9741x746,Accountant,"Syndney, Australia",75305
87,Tammy Wilson,(992)357-2846,Branch Manager,"Rowley, North Carolina",180667
88,Steve Harrison,+1-883-759-7185x33896,Industrial EngineerSoftware Engineer,"Rowley, North Carolina",145779
89,Susan Lyons,001-266-216-9151x04033,General Manager,"London, UK",66742
90,Erin Jordan,3359448734,Database Developer,"Austin, Texas",213915
91,Don Perez,001-203-562-7907x6094,Graphic Designer,"Syndney, Australia",88483
92,Tracy Chandler,805-956-0907x4778,Branch Manager,"Tokyo, Japan",232968
93,Alicia Ryan,4792599616,Marketing Inter,"Hartford, Connecticut",117559
94,Teresa Rice,(888)985-7951x43082,CEO,"Syndney, Australia",113097
95,Wanda Valencia,4743190514,Executive Director,"London, UK",111600
96,Gregory Garza,001-971-616-3284x445,Information Technology,"Austin, Texas",216238
97,Jeffrey Reed,5574170465,Executive Director,"Austin, Texas",148899
98,Meagan Miller,(211)341-4293,Quality Assurance,"Rowley, North Carolina",208128
99,Frances Steele,(645)872-6742,Administrative Assistant,"London, UK",151916
100,Laura Harris,299.733.2517x250,Marketing Inter,"Tampa Bay, Florida",72632
101,Cathy Phillips,972.759.8130x609,Marketing,"London, UK",112529
102,Marc Knight,001-782-996-6868x01814,Executive Director,"Syndney, Australia",207092
103,Frank Woods,001-947-661-4789x637,CEO,"Austin, Texas",135419
104,Jessica Luna,+1-936-597-2166x53333,SEO,"Tokyo, Japan",196325
105,Bradley Caldwell,758-358-9960,Administrative Assistant,"Syndney, Australia",126162
106,Kelly Schroeder,2723006560,Branch Manager,"Tampa Bay, Florida",100679
107,Alejandro Wilson,454-529-8139,Communications Specialist,"Tokyo, Japan",226913
108,Anna Turner,001-687-217-2274x83013,Chief Information Officer,"Chicago, Illinois",114725
109,Stephanie Martin,+1-480-257-9146x904,Chief Information Officer,"Austin, Texas",163658
110,Christine Williams,496-864-1794x89237,Communications Specialist,"London, UK",233318
111,Adrienne Wong,(937)449-4218,Telemarketing Representative,"London, UK",158559
112,Michelle Chavez,317.343.2071,Civil Engineer,"London, UK",244945
113,James Wilkerson,(796)761-5434x547,Recruiter,"Tampa Bay, Florida",229608
114,Sean Yoder,+1-778-510-7481x2978,Database Developer,"Washington, DC",238458
115,Timothy Hardy,3193221617,Graphic Designer,"Syndney, Australia",37704
116,Holly Allen,(925)682-2248x36824,Branch Manager,"Tampa Bay, Florida",183018
117,Angela Hill,(328)978-9059x8291,Chief Information Officer,"Austin, Texas",148538
118,Michael Spencer,001-615-813-2150,Communications Specialist,"Chicago, Illinois",231430
119,Andrew Parks,2388849991,Branch Manager,"Rowley, North Carolina",122274
120,Mary Wilcox,001-840-592-6504x220,Database Developer,"Washington, DC",181911
121,John Harris,+1-810-241-7862x94946,Branch Manager,"Austin, Texas",205065
122,Mr. Roger Morris,282.808.3523,Executive Director,"San Francisco, California",142295
